TimePeriod,BoroID,Annual mean ppb,Summer mean ppb,Winter mean ppb,Annual mean ppb_log,Summer mean ppb_log,Winter mean ppb_log,Borough_Brooklyn,Borough_Manhattan,Borough_Queens,Borough_Staten Island
2020-01-01,1,17.1,13.2,23.0,2.89591193827178,2.653241964607215,3.1780538303479458,0.0,0.0,0.0,0.0
2020-01-01,3,20.5,16.0,29.3,3.068052935133617,2.833213344056216,3.4111477125153233,0.0,1.0,0.0,0.0
2019-01-01,3,21.7,19.7,26.0,3.122364924487357,3.0301337002713233,3.295836866004329,0.0,1.0,0.0,0.0
2019-01-01,2,16.5,13.4,21.8,2.8622008809294686,2.667228206581955,3.126760535960395,1.0,0.0,0.0,0.0
2019-01-01,1,16.0,13.1,20.9,2.833213344056216,2.6461747973841225,3.086486636822455,0.0,0.0,0.0,0.0
2019-01-01,4,15.7,13.1,20.4,2.8154087194227095,2.6461747973841225,3.0633909220278057,0.0,0.0,1.0,0.0
2019-01-01,5,11.9,9.8,16.1,2.5572273113676265,2.379546134130174,2.8390784635086144,0.0,0.0,0.0,1.0
2018-01-01,4,17.2,12.5,23.5,2.9014215940827497,2.6026896854443837,3.1986731175506815,0.0,0.0,1.0,0.0
2018-01-01,5,12.9,8.2,18.9,2.631888840136646,2.2192034840549946,2.990719731730447,0.0,0.0,0.0,1.0
2018-01-01,1,17.7,13.6,23.6,2.928523523860541,2.681021528714291,3.202746442938317,0.0,0.0,0.0,0.0
2018-01-01,2,17.8,12.5,24.0,2.9338568698359038,2.6026896854443837,3.2188758248682006,1.0,0.0,0.0,0.0
2018-01-01,3,23.4,19.7,28.6,3.1945831322991562,3.0301337002713233,3.3877743613300146,0.0,1.0,0.0,0.0
2017-01-01,3,24.6,21.3,29.7,3.242592351485517,3.104586678466073,3.4242626545931514,0.0,1.0,0.0,0.0
2017-01-01,1,19.4,15.0,26.4,3.0155349008501706,2.772588722239781,3.3105430133940246,0.0,0.0,0.0,0.0
2017-01-01,4,17.8,13.4,24.8,2.9338568698359038,2.667228206581955,3.250374491927572,0.0,0.0,1.0,0.0
2017-01-01,2,18.5,13.4,24.7,2.970414465569701,2.667228206581955,3.246490991901174,1.0,0.0,0.0,0.0
2017-01-01,5,13.4,9.4,18.7,2.667228206581955,2.341805806147327,2.9806186357439426,0.0,0.0,0.0,1.0
2016-01-01,1,18.4,14.9,22.3,2.9652730660692823,2.766319109226186,3.1484533605716547,0.0,0.0,0.0,0.0
2016-01-01,5,13.5,9.2,18.1,2.6741486494265287,2.322387720290225,2.9496883350525844,0.0,0.0,0.0,1.0
2016-01-01,3,24.4,20.6,27.5,3.2347491740244907,3.0726933146901194,3.349904087274605,0.0,1.0,0.0,0.0
2016-01-01,4,17.6,13.1,22.4,2.9231615807191558,2.6461747973841225,3.152736022363656,0.0,0.0,1.0,0.0
2016-01-01,2,18.5,13.6,23.4,2.970414465569701,2.681021528714291,3.1945831322991562,1.0,0.0,0.0,0.0
2015-01-01,3,25.2,21.2,28.7,3.265759410767051,3.100092288878234,3.391147045808654,0.0,1.0,0.0,0.0
2015-01-01,2,19.3,14.1,25.3,3.0106208860477417,2.714694743820879,3.269568939183719,1.0,0.0,0.0,0.0
2015-01-01,1,20.0,16.0,23.9,3.044522437723423,2.833213344056216,3.214867803470662,0.0,0.0,0.0,0.0
